input_cell_line_name,input_identifier,detected_type,status,SIDM,matched_on,source,CVCL,RRID,ACH,all_aliases
NCI-H1435,SIDM00658,sidm,resolved,SIDM00658,sidm,sanger,,,,NCIH1435; SIDM00658
NCI-H1563,SIDM00751,sidm,resolved,SIDM00751,sidm,sanger,,,,NCIH1563; SIDM00751
NCI-H1568,SIDM00750,sidm,resolved,SIDM00750,sidm,sanger,,,,NCIH1568; SIDM00750
NCI-H1573,SIDM00749,sidm,resolved,SIDM00749,sidm,sanger,,,,NCIH1573; SIDM00749
NCI-H1581,SIDM00748,sidm,resolved,SIDM00748,sidm,sanger,,,,NCIH1581; SIDM00748
NCI-H1623,SIDM00747,sidm,resolved,SIDM00747,sidm,sanger,,,,NCIH1623; SIDM00747
NCI-H1648,SIDM00746,sidm,resolved,SIDM00746,sidm,sanger,,,,NCIH1648; SIDM00746
NCI-H1650,SIDM00745,sidm,resolved,SIDM00745,sidm,sanger,,,,NCIH1650; SIDM00745
NCI-H1651,SIDM00744,sidm,resolved,SIDM00744,sidm,sanger,,,,NCIH1651; SIDM00744
NCI-H1666,SIDM00743,sidm,resolved,SIDM00743,sidm,sanger,,,,NCIH1666; SIDM00743
NCI-H1688,SIDM00792,sidm,resolved,SIDM00792,sidm,sanger,,,,NCIH1688; SIDM00792
NCI-H1693,SIDM00742,sidm,resolved,SIDM00742,sidm,sanger,,,,NCIH1693; SIDM00742
NCI-H1694,SIDM00741,sidm,resolved,SIDM00741,sidm,sanger,,,,NCIH1694; SIDM00741
NCI-H1703,SIDM00740,sidm,resolved,SIDM00740,sidm,sanger,,,,NCIH1703; SIDM00740
NCI-H1755,SIDM00738,sidm,resolved,SIDM00738,sidm,sanger,,,,NCIH1755; SIDM00738
NCI-H1781,SIDM00754,sidm,resolved,SIDM00754,sidm,sanger,,,,NCIH1781; SIDM00754
NCI-H1792,SIDM00771,sidm,resolved,SIDM00771,sidm,sanger,,,,NCIH1792; SIDM00771
NCI-H1793,SIDM00755,sidm,resolved,SIDM00755,sidm,sanger,,,,NCIH1793; SIDM00755
NCI-H1838,SIDM00769,sidm,resolved,SIDM00769,sidm,sanger,,,,NCIH1838; SIDM00769
NCI-H1869,SIDM00768,sidm,resolved,SIDM00768,sidm,sanger,,,,NCIH1869; SIDM00768
NCI-H1876,SIDM00766,sidm,resolved,SIDM00766,sidm,sanger,,,,NCIH1876; SIDM00766
NCI-H1915,SIDM00763,sidm,resolved,SIDM00763,sidm,sanger,,,,NCIH1915; SIDM00763
NCI-H1944,SIDM00762,sidm,resolved,SIDM00762,sidm,sanger,,,,NCIH1944; SIDM00762
NCI-H196,SIDM00761,sidm,resolved,SIDM00761,sidm,sanger,,,,NCIH196; SIDM00761
NCI-H1963,SIDM00760,sidm,resolved,SIDM00760,sidm,sanger,,,,NCIH1963; SIDM00760
NCI-H1975,SIDM00759,sidm,resolved,SIDM00759,sidm,sanger,,,,NCIH1975; SIDM00759
NCI-H1993,SIDM00758,sidm,resolved,SIDM00758,sidm,sanger,,,,NCIH1993; SIDM00758
NCI-H2009,SIDM00756,sidm,resolved,SIDM00756,sidm,sanger,,,,NCIH2009; SIDM00756
NCI-H2023,SIDM00753,sidm,resolved,SIDM00753,sidm,sanger,,,,NCIH2023; SIDM00753
NCI-H2029,SIDM00735,sidm,resolved,SIDM00735,sidm,sanger,,,,NCIH2029; SIDM00735
NCI-H2052,SIDM00713,sidm,resolved,SIDM00713,sidm,sanger,,,,NCIH2052; SIDM00713
NCI-H2066,SIDM00711,sidm,resolved,SIDM00711,sidm,sanger,,,,NCIH2066; SIDM00711
NCI-H2085,SIDM00709,sidm,resolved,SIDM00709,sidm,sanger,,,,NCIH2085; SIDM00709
NCI-H2087,SIDM00708,sidm,resolved,SIDM00708,sidm,sanger,,,,NCIH2087; SIDM00708
NCI-H209,SIDM00706,sidm,resolved,SIDM00706,sidm,sanger,,,,NCIH209; SIDM00706
NCI-H211,SIDM00704,sidm,resolved,SIDM00704,sidm,sanger,,,,NCIH211; SIDM00704
NCI-H2122,SIDM00702,sidm,resolved,SIDM00702,sidm,sanger,,,,NCIH2122; SIDM00702
NCI-H2141,SIDM00699,sidm,resolved,SIDM00699,sidm,sanger,,,,NCIH2141; SIDM00699
NCI-H2170,SIDM00716,sidm,resolved,SIDM00716,sidm,sanger,,,,NCIH2170; SIDM00716
NCI-H2228,SIDM00729,sidm,resolved,SIDM00729,sidm,sanger,,,,NCIH2228; SIDM00729
NCI-H226,SIDM00139,sidm,resolved,SIDM00139,sidm,sanger,,,,NCIH226; SIDM00139
NCI-H23,SIDM00138,sidm,resolved,SIDM00138,sidm,sanger,,,,NCIH23; SIDM00138
NCI-H2342,SIDM00727,sidm,resolved,SIDM00727,sidm,sanger,,,,NCIH2342; SIDM00727
NCI-H2347,SIDM00726,sidm,resolved,SIDM00726,sidm,sanger,,,,NCIH2347; SIDM00726
NCI-H2369,SIDM00104,sidm,resolved,SIDM00104,sidm,sanger,,,,NCIH2369; SIDM00104
NCI-H2373,SIDM00103,sidm,resolved,SIDM00103,sidm,sanger,,,,NCIH2373; SIDM00103
NCI-H2405,SIDM00724,sidm,resolved,SIDM00724,sidm,sanger,,,,NCIH2405; SIDM00724
NCI-H2452,SIDM00722,sidm,resolved,SIDM00722,sidm,sanger,,,,NCIH2452; SIDM00722
NCI-H2461,SIDM00102,sidm,resolved,SIDM00102,sidm,sanger,,,,NCIH2461; SIDM00102
NCI-H2591,SIDM00101,sidm,resolved,SIDM00101,sidm,sanger,,,,NCIH2591; SIDM00101
