SIDM,cell_line_name,tissue
SIDM00241,OCUB-M,Breast
SIDM00568,OCUM-1,Stomach
SIDM00479,OE19,Esophagus
SIDM00478,OE21,Esophagus
SIDM00477,OE33,Esophagus
SIDM00567,ONS-76,CNS
SIDM00457,OPM-2,Lymphoid
SIDM00565,OSC-20,Head
SIDM00239,OS-RC-2,Kidney
SIDM00475,OV-56,Ovary
SIDM01141,OV-90,Ovary
SIDM00967,OVCA420,Ovary
SIDM00105,OVCAR-3,Ovary
SIDM00092,OVCAR-4,Ovary
SIDM00091,OVCAR-5,Ovary
SIDM00090,OVCAR-8,Ovary
SIDM00564,OVISE,Ovary
SIDM00466,OVKATE,Ovary
SIDM00465,OVMIU,Ovary
SIDM00425,OVTOKO,Ovary
SIDM00463,P12-ICHIKAWA,Lymphoid
SIDM00364,P30-OHK,Lymphoid
SIDM00363,P31-FUJ,Lymphoid
SIDM00362,P32-ISH,Lymphoid
SIDM01140,PA-1,Ovary
SIDM01139,PANC-02-03,Pancreas
SIDM01138,PANC-03-27,Pancreas
SIDM01137,PANC-04-03,Pancreas
SIDM01136,PANC-08-13,Pancreas
SIDM01135,PANC-10-05,Pancreas
SIDM00455,PA-TU-8902,Pancreas
SIDM00453,PA-TU-8988T,Pancreas
SIDM00237,PC-14,Lung
SIDM00088,PC-3,Prostate
SIDM00044,PCI-30,Head
SIDM00472,PEO1,Ovary
SIDM00451,PF-382,Lymphoid
SIDM01132,PFSK-1,CNS
SIDM00054,PL18,Pancreas
SIDM00042,PL4,Pancreas
SIDM00469,PSN1,Pancreas
SIDM01114,PWR-1E,Prostate
SIDM00844,Raji,Lymphoid
SIDM01247,Ramos-2G6-4C10,Lymphoid
SIDM00235,RCC10RGB,Kidney
SIDM00817,RCC-JW,Kidney
SIDM00448,RC-K8,Lymphoid
SIDM00359,RCM-1,Colon
SIDM00847,RD,Soft_tissue
SIDM00447,REH,Lymphoid
SIDM00358,RERF-GC-1B,Stomach
SIDM00356,RERF-LC-KJ,Lung
SIDM00354,RERF-LC-Sq1,Lung
SIDM01092,RF-48,Lymphoid
SIDM00427,RH-1,Bone
SIDM00426,RH-41,Soft_tissue
SIDM00353,RKN,Soft_tissue
SIDM01090,RKO,Colon
SIDM01088,RL95-2,Endometrium
SIDM00352,RMG-I,Ovary
SIDM00218,RO82-W-1,Thyroid
SIDM00813,RPMI-6666,Lymphoid
SIDM01087,RPMI-7951,Skin
SIDM00087,RPMI-8226,Lymphoid
